date,sleep_hours,sleep_score,recovery_score,strain,steps,hrv,resting_hr,trained_today,next_day_recovery,workout_type
2024-03-28,5.8,75,41,0.0,7921,60,56,0,43,none
2024-03-29,5.9,78,43,5.5,5878,65,52,0,81,none
2024-03-30,8.1,97,81,5.3,10906,89,47,0,27,none
2024-03-31,8.4,98,27,10.5,9388,36,62,1,91,weightlifting
2024-04-01,8.1,92,91,4.1,8507,97,48,0,73,none
2024-04-02,7.3,82,73,10.0,8822,83,50,1,68,weightlifting
2024-04-03,6.3,75,68,9.4,10455,88,55,1,77,weightlifting
2024-04-04,7.1,84,77,11.5,18576,84,50,1,76,weightlifting
2024-04-05,6.5,78,76,13.8,14457,79,50,1,81,cardio
2024-04-06,7.0,80,81,14.8,17296,87,54,1,85,cardio
2024-04-07,8.3,88,85,16.3,12207,90,49,1,90,both
2024-04-08,7.8,94,90,9.7,14975,106,47,1,77,weightlifting
2024-04-09,7.0,90,77,13.5,20032,84,50,1,86,cardio
2024-04-10,7.6,89,86,17.9,15743,94,48,1,73,both
2024-04-11,6.7,79,73,13.1,7783,74,51,1,73,cardio
2024-04-12,6.4,81,73,5.9,10150,80,52,0,89,none
2024-04-13,7.3,83,89,11.0,14469,96,47,1,67,weightlifting
2024-04-14,6.6,78,67,13.1,8539,84,50,1,78,cardio
2024-04-15,7.4,81,78,6.6,12938,92,53,0,97,none
2024-04-16,8.4,88,97,12.0,15338,105,47,1,57,cardio
2024-04-17,5.9,78,57,14.2,17606,74,52,1,61,cardio
2024-04-18,7.3,73,61,13.1,10158,70,53,1,56,cardio
2024-04-19,5.5,63,56,10.5,9555,79,55,1,76,weightlifting
2024-04-20,7.1,87,76,10.3,13531,79,51,1,79,weightlifting
2024-04-21,7.4,85,79,13.7,5857,86,51,1,82,both
2024-04-22,7.5,87,82,6.1,3671,88,47,0,78,none
2024-04-23,7.7,89,78,5.4,14373,83,52,0,85,none
2024-04-24,7.7,92,85,15.8,7953,92,49,1,84,both
2024-04-25,7.5,82,84,8.4,15087,101,50,1,76,weightlifting
2024-04-26,7.5,80,76,13.6,17232,88,48,1,76,cardio
2024-04-27,6.4,79,76,15.8,9638,83,50,1,86,both
2024-04-28,7.2,76,86,11.2,12577,90,49,1,96,weightlifting
2024-04-29,8.0,94,96,13.9,15498,97,46,1,68,cardio
2024-04-30,6.5,74,68,13.8,4694,82,53,1,78,cardio
